"nacimiento","genero","industria","sector","nucleo","em_fom_remoto","em_fom_camb_remoto","t_dez_remoto","t_casa","t_familia","t_remoto_3meses","t_pref_remoto_3meses","h_trabajo_remoto"
"1969","2","9","9","1","1","1","0","4","6","0.5","0.5","6"
"1985","1","11","34","7","3","2","5","5","5","0.1","0.2","5"
"1988","1","13","17","7","3","3","0.5","5","4","0.1","0.8","6"
"1986","1","6","29","5","4","4","1","3","3","0.6","0.7","10"
"1964","2","8","1","7","5","5","1","3","4","0.5","0.5","8"
"1964","2","8","1","1","2","2","0","4","4","0.05","0.05","8"
"1996","2","9","30","2","2","2","0","2","5","0.7","0.7","8"
"1964","2","19","1","1","2","1","1","4","3","1","0.5","8"
"1993","2","9","9","5","3","2","1","6","2","0.5","0.5","7"
"1963","2","15","6","2","1","5","0","5","4","1","1","8"
"1969","1","13","38","2","2","2","1","4","6","0.8","1","7"
"1985","2","14","32","1","1","2","1","7","2","1","1","8"
"1990","2","10","5","1","2","2","0","4","5","1","1","7"
"2000","2","10","6","7","1","1","3","0","5","0.1","0","12"
"1973","2","8","1","1","2","3","1","3","7","1","1","5"
"1986","2","6","29","1","5","5","0","3","3","0","0","10"
"1973","1","11","28","1","1","2","0","5","5","0.5","0.5","7"
"1988","2","16","33","5","1","2","1","3","3","0.3","0.5","10"
"1996","2","13","32","7","5","5","0.5","2.5","5","0.05","0.5","8"
"1998","2","13","7","2","4","4","0","2","6","0.8","0.7","8"
"1985","1","10","22","5","1","1","1","6","4","0.2","0.2","9"
"1965","2","9","30","7","1","1","0","2","6","1","1","8"
"1970","1","6","29","1","5","5","2","5","2","0","0.5","10"
"1963","1","8","25","2","2","3","1","3","5","0.05","0.05","8"
"1961","1","8","31","2","3","1","1","3","3","0.5","0.5","9"
"1964","1","1","24","3","1","1","0.5","5","3.5","0.2","1","8"
"1969","1","15","5","1","2","1","0","5","5","0.8","0.05","7"
"1964","1","5","13","2","2","1","2","2","6","0.05","0.2","8"
"1983","2","8","27","2","2","1","0","2.5","4.5","1","1","9.5"
"1959","1","7","28","2","3","2","0","2","2","0.8","0.8","12"
"1962","2","8","22","7","2","2","0.5","2","4","0.8","0.8","9.5"
"1972","1","10","31","1","1","1","1","3","3","1","1","9"
"1959","1","14","28","1","3","1","0","4","3","1","1","9"
"1981","1","13","25","1","1","1","0","3","3","1","1","10"
"1981","2","9","30","2","5","5","0","2","6","0","0.1","8"
"1970","1","19","28","1","3","3","0.5","2","6.5","0.05","0.2","8"
"1971","1","8","32","2","3","3","0.5","5.5","2","0.8","0.7","9"
"1959","2","8","31","7","2","4","0.5","2","4.5","1","1","9"
"1957","1","6","29","1","5","5","1","3","4","0.05","0","8"
"1964","2","9","30","2","1","1","0","3","4","0.2","0.5","8"
"1991","1","6","29","2","5","5","0","1","6","0","0","9"
"1980","2","13","2","1","4","4","0","3","4","1","1","8"
"1994","1","14","32","7","3","1","0.5","1","4.5","1","1","10"
"1987","2","14","25","5","2","2","0","1","6","0.6","0.5","10"
"1985","2","2","31","7","2","1","1","4","3","0.3","0.3","8"
"1978","1","8","39","7","1","1","0","1","6","1","0.9","9"
"1972","2","17","24","5","2","2","4","8","4","0.1","0.1","4"
"1975","1","7","11","6","1","1","1","5","2","0.2","0.2","8"
"1969","2","15","7","5","1","2","1","5","4","0.05","0.2","8"
"1995","2","8","2","7","2","2","2","3","3","0","1","8"
"1972","2","13","1","7","5","3","0","3","5","1","1","8"
"1981","2","13","31","2","1","1","0.5","0","8.5","1","0.9","8"
"1992","2","17","31","2","1","2","0","2","5","1","1","8"
"2000","2","13","2","1","4","4","3","3","5","0.3","0.3","2"
"1983","2","17","34","2","2","4","0","0","7","0.5","0.5","9"
"1975","1","8","39","2","1","2","0","1","5","1","1","10"
"1972","2","14","25","1","1","1","1","5","2","1","1","8"
"1968","2","6","29","4","3","3","0.5","3","3","1","0.2","10.5"
"1999","1","5","28","2","1","1","2","2","2","0.6","0.5","12"
"1982","2","8","22","2","2","2","0","3","5","1","1","8"
"1967","2","14","31","7","2","2","2","3","2","0.8","0.6","10"
"1999","2","14","32","1","2","2","0","3","6","0.8","0.9","9"
"1977","2","6","6","1","5","5","0","4","3.5","0","0.05","8.5"
"1960","2","2","1","2","4","4","0","4","4","1","1","8"
"1978","2","8","6","7","1","1","1","0","8","1","1","8"
